origin,destination,count
EHRD,LPPM,1
EHAM,EDDR,1
EHEH,LFOE,1
EHAM,EFTO,2
EHEH,LFIX,1
EHAM,EPPK,7
EHEH,LEDS,1
EHBK,LIML,1
EHAM,EPZB,8
EHEH,EINN,5
EHRD,LEZL,1
EHRD,LHBP,2
EHRD,LFPO,3
EHAM,LEDA,1
EHEH,LFBY,1
EHBK,EGLF,3
EHAM,LESB,7
EHAM,LKTB,4
EHTW,EBMB,1
EHAM,LDZD,1
EHAM,LICL,1
EHEH,EDDF,4
EHAM,LFDC,1
EHBK,EGTE,2
EHEH,LFLS,1
EHAM,LKMT,2
EHAM,LXGB,3
EHBK,EPLB,1
EHEH,EDDN,1
EHRD,EGSH,1
EHBK,LDZA,1
EHAM,LFLX,2
EHLE,EKYT,1
EHBK,LYBE,1
EHAM,LECN,2
EHAM,ENRY,1
EHAM,EDQX,1
EHRD,EPKK,2
EHBK,LBWN,1
EHAM,LFEJ,1
EHBK,EPRJ,1
EHAM,EIMH,1
EHEH,EIGN,1
EHRD,LFMV,1
EHAM,EPPR,1
EHAM,LGTL,4
EHGG,LSZB,4
EHAM,LFLI,1
EHEH,EGVN,3
EHEH,LWSK,9
EHAM,EDOI,1
EHAM,LFQQ,2
EHEH,EIME,2
EHAM,LKZD,2
EHAM,EPKN,1
EHRD,LRBS,1
EHAM,LILG,1
EHBK,ENSI,3
EHBK,EDDL,1
EHEH,LKHV,1
EHAM,EIHH,1
EHAM,EKCR,1
EHGG,LSZH,2
EHEH,LGTL,2
EHAM,EDUO,1
EHBK,EINN,11
EHAM,EGSL,2
EHRD,EBOS,1
EHEH,LFOB,1
EHGG,ENTS,2
EHBD,LKKU,1
EHAM,EGHP,2
EHBK,ENJB,1
EHAM,LFMV,1
EHRD,LFHN,3
EHBK,LFHS,17
EHRD,EDTB,2
EHAM,LJBL,1
EHAM,EGBE,11
EHEH,LFGC,1
EHEH,LHNY,2
EHBK,LKPR,9
EHAM,LFNU,2
EHRD,LIMA,1
EHBK,LFFI,1
EHEH,EDFH,1
EHEH,LESB,1
EHBK,LPCS,2
EHAM,EDAW,11
EHRD,EGGW,3
EHBK,LFJD,5
EHBK,EGNJ,1
EHEH,LRCK,2
EHBK,EDDP,4
EHEH,EKVB,2
EHBK,LGAV,3
EHBK,ETNL,1
EHRD,LKKL,1
EHAM,LOGW,1
EHAM,EDLN,1
EHRD,LFOK,1
EHAM,EPKP,3
EHAM,EKHS,1
EHEH,LHCL,1
EHEH,LFLL,1
EHRD,EDNY,1
EHRD,LIPZ,5
EHAM,EGJB,2
EHAM,LFLP,1
EHRD,EGHB,1
EHEH,LIRN,2
EHRD,LOKM,2
EHBK,EPMO,1
EHAM,EGKH,3
EHAM,EYVK,1
EHAM,EGQL,1
EHAM,EGSQ,1
EHAM,EGMA,1
EHBK,EICN,1
EHBK,ESML,1
EHEH,EHGR,1
EHAM,LIRM,16
EHEH,LFST,1
EHAM,EBDT,2
EHAM,EGHF,1
EHRD,LOKR,4
EHEH,EPPR,1
EHAM,EHGR,1
EHAM,EGNW,2
EHAM,EGXD,1
EHAM,EHHV,2
EHEH,EHHV,1
EHAM,EGHB,2
EHRD,EHND,1
EHRD,EGKB,3
EHGG,EGSQ,4
EHEH,LFBO,3
EHRD,LDLO,1
EHEH,ESMS,1
EHBK,EGAA,1
EHEH,EDDP,5
EHEH,EPPK,1
EHAM,ENGK,1
EHEH,LFOK,2
EHEH,EPKS,10
EHEH,EKYT,4
EHGG,LEPA,21
